repo_owner,repo_name,Category,Number of Components,commits,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines
kitabisa,docker-slim-action,utilities,55,27,4,6,5,4,25,4,3973,15,1,8,0,3973000
ksivamuthu,aws-copilot-github-action,deployment,13,30,7,8,18,4,31,5,540,30,12,30,6,540000
layer5labs,kanvas-snapshot,code review,513,30,26,30,24,5,28,17,1213,30,5,30,2,1213000
laytan,setup-odin,utilities,120,30,3,17,3,3,19,3,16740,30,1,30,0,16740000
leanix,nx-affected-dependencies-action,deployment,9,30,11,3,0,2,17,2,357,30,10,30,6,357000
lhotari,action-upterm,utilities,2,30,2,1,35,5,427,4,40,30,16,7,1,40000
lindluni,actions-variable-groups,utilities,29,30,1,12,3,1,15,3,342,10,1,4,0,342000
loopwerk,tag-changelog,deployment,37,30,1,16,15,4,62,4,311,18,0,7,0,311000
lukka,run-cmake,dependency management,378,30,8,21,21,5,187,9,2361,30,8,30,0,2361000
lukka,run-vcpkg,dependency management,422,30,15,30,27,5,199,9,4251,30,4,30,0,4251000
lwojcik,github-action-feed-to-social-media,utilities,3,30,1,0,4,1,31,2,1871,30,0,30,0,1871000
machulav,ec2-github-runner,utilities,111,30,6,17,348,10,767,13,6121,30,67,30,7,6121000
mainmatter,ember-asset-size-action,deployment,124,30,11,6,15,6,22,10,2053,30,12,30,9,2053000
managedcode,mauiappversion,deployment,27,25,1,8,1,1,20,2,821,4,1,1,0,821000
manusa,actions-setup-minikube,container ci,43,30,6,27,27,4,61,5,16197,30,10,30,4,16197000
marocchino,validate-dependabot,dependency management,754,30,7,7,5,3,26,4,3869,30,11,30,5,3869000
martincostello,update-dotnet-sdk,utilities,72,30,1,30,1,3,18,5,14804,30,3,30,0,14804000
masci,datadog,monitoring,13,30,1,18,22,3,74,5,800,30,0,30,0,800000
matlab-actions,setup-matlab,utilities,61,30,8,24,13,9,79,6,2975,30,19,30,2,2975000
mattermost,action-mattermost-notify,utilities,17,30,1,6,10,34,44,5,2277,19,3,11,1,2277000
mattzcarey,code-review-gpt,code review,1162,30,30,21,184,25,1798,30,4332,30,7,30,1,4332000
mbogh,test-ssl-action,security,10,22,1,6,5,2,22,3,258,10,2,8,1,258000
mheap,automatic-approve-action,testing,32,15,8,10,2,3,15,3,773,23,5,17,5,773000
mheap,require-checklist-action,code review,30,24,7,11,18,3,27,7,593,30,6,30,5,593000
microsoft,richcodenavindexer,code review,380,30,13,30,14,8,26,13,80074,30,5,30,1,80074000
mikepenz,action-junit-report,testing,145,30,30,30,133,5,341,26,13753,30,9,30,4,13753000
mikesprague,teams-incoming-webhook-action,utilities,58,30,1,30,5,5,23,2,4710,30,3,30,0,4710000
mlg87,pr-reviewer-slack-notify-action,code review,1093,30,8,30,7,2,26,9,57203,30,9,30,1,57203000
mlugg,setup-zig,utilities,78,21,2,5,11,2,116,6,5353,24,7,11,0,5353000
moonrepo,setup-rust,utilities,406,30,1,27,9,4,102,4,5571,25,7,12,1,5571000
moropo-com,action-trigger-test-run,testing,44,30,4,14,1,1,13,6,986,30,1,30,0,986000
mrrobotdotapp,classic-discord-webhook,chat,62,30,1,8,8,2,17,7,3126,19,0,16,0,3126000
necojackarc,auto-request-review,code review,36,30,2,19,34,3,130,15,199,30,25,30,2,199000
nelonoel,branch-name,deployment,3,12,5,2,23,2,60,2,40,19,10,14,6,40000
nick-fields,retry,utilities,15,30,8,23,88,3,447,17,980,30,44,30,12,980000
nicklegan,github-org-repo-metrics-action,utilities,66,10,1,6,9,0,19,1,535,30,3,30,0,535000
nix-community,cache-nix-action,continuous integration,92,30,5,18,9,1,45,30,22173,30,12,11,0,22173000
nowsecure,nowsecure-action,security,480,30,2,4,15,8,37,8,6805,30,0,30,0,6805000
ookami-kb,gh-pr-size-watcher,code review,28,30,1,7,5,3,13,1,965,12,1,8,0,965000
oprypin,find-latest-tag,dependency management,28,30,3,8,15,3,34,4,3263,15,5,7,2,3263000
