repo_owner,repo_name,Category,Number of Components,Low,Medium,High,Critical,Total Vulnerabilities,CWE Tags,vulnerability-proneness-all,commits,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,labels,topics,lang_shell,lang_makefile,lang_cplusplus,lang_typescript,lang_nix,lang_jinja,lang_css,lang_smarty,lang_dockerfile,lang_mustache,lang_java,lang_rust,lang_python,lang_swift,lang_objective_c,lang_javascript,lang_php,lang_odin,lang_hcl,lang_agda,lang_cmake,lang_c#,lang_nunjucks,lang_batchfile,lang_dart,lang_lua,lang_html,lang_handlebars,lang_vue,lang_powershell,lang_kotlin,lang_ruby,lang_julia,lang_jq,description,primary_language,license_name,security_policy_enabled,vulnerability_alerts_enabled,stargazers_count,network_count,subscribers_count,languages
datadog,synthetics-ci-github-action,testing,856,0,4,7,0,11," cwe-080,  cwe-116,  cwe-1333,  cwe-400,  cwe-789, cwe-020",11.0,30,4,30,15,8,45,17,34547,30,1,30,0,34547000,14," continuous-integration,  continuous-testing,  datadog,  github-actions, ci",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Use Browser and API tests in your CI/CD with Datadog Continuous Testing,TypeScript,Apache License 2.0,False,True,47.0,15.0,8.0,"['TypeScript', 'Shell', 'JavaScript']"
davideviolante,pr-reviews-reminder-action,code review,20,0,0,0,0,0,,0.0,30,1,30,20,4,45,6,1232,30,4,30,0,1232000,11," github-actions,  microsoft-teams,  notification,  pr,  pull-requests,  reviews,  slack,  teams,  webhook, github-action",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A GitHub Action to send Slack/Teams notification for Pull Request that are waiting for reviewers.,JavaScript,MIT License,False,True,45.0,19.0,4.0,['JavaScript']
delaguardo,setup-clojure,utilities,65,0,2,5,25,32," cwe-078,  cwe-088,  cwe-259,  cwe-321,  cwe-338,  cwe-400,  cwe-730,  cwe-798, cwe-020",32.0,30,5,30,30,9,194,14,9436,30,13,30,4,9436000,10," clojure,  clojure-cli,  github-action,  leiningen, boot-clj",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GitHub Action to provision clojure's most popular build tools for Linux, Mac OS X and Windows.",TypeScript,MIT License,False,True,195.0,30.0,9.0,"['TypeScript', 'JavaScript']"
dependencytrack,gh-upload-sbom,security,4,0,1,0,0,1,cwe-200,1.0,30,3,6,26,5,48,13,127,30,6,27,2,127000,29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Publishes BOMs to Dependency-Track from GitHub Actions,JavaScript,Apache License 2.0,False,True,50.0,28.0,5.0,['JavaScript']
devcyclehq,feature-flag-code-usage-action,code review,419,0,0,2,1,3," cwe-1333,  cwe-259,  cwe-321,  cwe-798, cwe-020",3.0,30,7,16,4,6,19,11,1306,30,2,30,2,1306000,15," continuous-deployment,  devcycle,  devops,  feature-flags,  feature-toggles,  openfeature, continuous-delivery",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,nan
devcyclehq,feature-flag-pr-insights-action,code review,403,0,0,2,0,2," cwe-1333, cwe-020",2.0,30,10,20,3,6,19,10,1668,30,5,30,4,1668000,17," continuous-deployment,  devcycle,  devops,  feature-flags,  feature-toggles,  openfeature, continuous-delivery",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,nan
dopplerhq,cli-action,security,15,3,0,0,0,3," cwe-284, cwe-200",3.0,29,3,3,9,4,52,3,1589,12,2,12,2,1589000,10," environment-variables,  secret-management,  secrets,  secrets-manager,  security, doppler-cli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GitHub Action for installing the Doppler CLI,JavaScript,Apache License 2.0,False,True,52.0,9.0,4.0,['JavaScript']
expediagroup,github-helpers,utilities,70,0,4,7,0,11," cwe-080,  cwe-116, cwe-020",11.0,30,2,30,29,3,35,22,11017,30,3,30,2,11017000,23," github-actions,  oss-portal-listed,  workflows, ci",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,A collection of Github Actions that simplify and standardize common CI/CD workflow tasks.,TypeScript,Apache License 2.0,False,True,36.0,29.0,4.0,"['TypeScript', 'Handlebars', 'JavaScript', 'Shell']"
expediagroup,spinnaker-pipeline-trigger,project management,755,0,2,6,3,11," cwe-1333,  cwe-184,  cwe-400,  cwe-476,  cwe-94, cwe-020",11.0,30,13,9,8,3,15,7,3285,30,11,30,7,3285000,15," oss-portal-listed,  spinnaker, actions",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pipeline trigger for Spinnaker utilizing SNS,TypeScript,Apache License 2.0,False,True,16.0,7.0,3.0,"['TypeScript', 'JavaScript']"
grantbirki,git-diff-action,utilities,47,0,1,1,0,2," cwe-078,  cwe-088, cwe-020",2.0,30,1,20,3,2,16,4,2018,30,1,30,0,2018000,10," automation,  git-diff,  json, actions",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A GitHub Action for gathering the git diff of a pull request in raw or JSON format,JavaScript,MIT License,True,True,16.0,3.0,2.0,"['JavaScript', 'Shell']"
